name,provider,campus,lon,lat,device_ids
玉泉出版社楼南侧,neptune,1,120.130264,30.265806,"[60459110,60459111]"
玉泉原电工厂,neptune,1,120.13011,30.27607,"[50359160,50359161,60359118,60359119]"
玉泉建发宿舍（内部）,neptune,1,120.129126,30.275069,"[60459101,60459102]"
玉泉教七北侧,neptune,1,120.12695,30.27066,"[51059127,60359122,60359123]"
玉泉教三北侧,neptune,1,120.129265,30.269646,[50359156]
玉泉教十八西侧,neptune,1,120.12753,30.26709,"[60359120,60359121]"
玉泉教十（内部）,neptune,1,120.127605,30.266046,[60459109]
玉泉新桥门南侧,neptune,1,120.133144,30.271072,"[60359102,60359127,60359131]"
玉泉曹光彪楼南侧,neptune,1,120.12836,30.264809,"[50359162,50359163,60459119,60459120]"
玉泉生仪楼南侧,neptune,1,120.128073,30.266517,"[50559147,50559148,50559149,50559150]"
玉泉电机楼南侧,neptune,1,120.130101,30.266855,"[60459129,60459130]"
玉泉科工楼东侧,neptune,1,120.130415,30.266195,[60659111]
玉泉行政楼北侧,neptune,1,120.13176,30.269293,"[60359116,60359117]"
玉泉高分子系北侧,neptune,1,120.125426,30.268901,"[50359157,50359164,50359165,50359166,50359167]"
紫金港东区留学生A座南侧,neptune,2,120.093507,30.315083,"[50559157,50559155,50559154,50559153,50559157,50559158,50559156]"
紫金港东区留学生B座北侧,neptune,2,120.093139,30.3160273,"[60459124,60459122,60459123,60459112,60459121]"
紫金港西区留学生宿舍,neptune,2,120.085975,30.301086,"[60359109,60359102,60359105,60359103,60359108,60359104,60359107,60359106,60359101]"
紫金港化学楼,neptune,2,120.08982944716249,30.304697445336732,"[60459108,60459106,60659108,60659107]"
紫金港东四北侧,neptune,2,120.096136,30.305663,"[60459114,60459115,60459116,60459128]"
紫金港农学院,neptune,2,120.098503,30.302554,"[60359110,60359124]"
紫金港生科院,neptune,2,120.097084,30.302456,"[60659105,60659106]"
紫金港药学院,neptune,2,120.092618,30.302828,"[60359126,60359132,60359134,60359135]"
紫金港医学院A区,neptune,2,120.09269585086588,30.301192494095556,"[50359171,50359172,50359173]"
紫金港医学院B区,neptune,2,120.09172236543868,30.301195512541856,"[50359168,50359169,50359170]"
紫金港医学院C区,neptune,2,120.09030981839528,30.30118885661498,"[50559141,50359158,50359159]"
紫金港医学院南侧,neptune,2,120.09192671388736,30.30089933700812,"[40759094,40759093,40759092,40759091,40759090,40759089,40759088,40759087,40759086,40359108,40759084]"
紫金港艺博馆东南角,neptune,2,120.078801,30.303280,"[50559142,50559143,50559144,50559145,50559146,60459117,60459118]"
紫金港玉湖,neptune,2,120.077816,30.306257,"[50959123,50959124,50959125,50959126,50959127,50959128,50959129,50959130]"
紫金港银泉足球场北（西侧）,neptune,2,120.082178,30.313440,"[50959101,50959102,50959103,50959104,50959105,50959106,50959117,50959118,50959119,50959120]"
紫金港银泉足球场北（东侧）,neptune,2,120.082899,30.313758,"[50959107,50959108,50959109,50959110,50959111,50959112,50959113,50959114,50959115,50959116]"
紫金港动科院北侧,neptune,2,120.096361,30.304446,"[60659109,60659110]"
华家池中心北楼,neptune,3,120.201454,30.278446,"[60459125,60459113,60459126,60459127]"
华家池图书馆,neptune,3,120.203238,30.276429,"[50959131,50959132]"